test_id,node,test_category,test_description,test,result,failure_reason
211,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
212,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
213,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
214,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
215,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
216,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
217,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
218,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
219,leaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
220,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
221,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
222,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
223,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
224,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
225,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
226,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
227,leaf3-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
228,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
229,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
230,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
231,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
232,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
233,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
234,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
235,leaf3-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
236,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
237,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
238,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
239,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
240,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
241,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
242,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
243,leaf4-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
244,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
245,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
246,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
247,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
248,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
249,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
250,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
251,leaf4-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
252,borderleaf1-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
253,borderleaf1-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
254,borderleaf2-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
255,borderleaf2-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
256,leaf1-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
257,leaf1-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
258,leaf2-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
259,leaf2-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
260,leaf3-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
261,leaf3-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
262,leaf4-DC1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
263,leaf4-DC2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
264,borderleaf1-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
265,borderleaf1-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
266,borderleaf1-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
267,borderleaf1-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
268,borderleaf2-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
269,borderleaf2-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
270,borderleaf2-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
271,borderleaf2-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
272,DCI,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
273,leaf1-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
274,leaf1-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
275,leaf1-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
276,leaf1-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
277,leaf2-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
278,leaf2-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
279,leaf2-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
280,leaf2-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
281,leaf3-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
282,leaf3-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
283,leaf3-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
284,leaf3-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
285,leaf4-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
286,leaf4-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
287,leaf4-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
288,leaf4-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
289,spine1-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
290,spine1-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
291,spine2-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
292,spine2-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
293,spine3-DC1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
294,spine3-DC2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
295,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf2-DC1_Ethernet1,PASS,
296,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf2-DC1_Ethernet2,PASS,
297,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet6,PASS,
298,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet6,PASS,
299,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet6,PASS,
300,borderleaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet12 - remote: DCI_Ethernet1,PASS,
301,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf2-DC2_Ethernet1,PASS,
302,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf2-DC2_Ethernet2,PASS,
303,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet6,PASS,
304,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet6,PASS,
305,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet6,PASS,
306,borderleaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet12 - remote: DCI_Ethernet3,PASS,
307,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf1-DC1_Ethernet1,PASS,
308,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf1-DC1_Ethernet2,PASS,
309,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet7,PASS,
310,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet7,PASS,
311,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet7,PASS,
312,borderleaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet12 - remote: DCI_Ethernet2,PASS,
313,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf1-DC2_Ethernet1,PASS,
314,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf1-DC2_Ethernet2,PASS,
315,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet7,PASS,
316,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet7,PASS,
317,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet7,PASS,
318,borderleaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet12 - remote: DCI_Etherne4,FAIL,DCI.atd.lab - Ethernet4
319,DCI,LLDP Topology,LLDP topology - validate peer and interface,local: Etherne4 - remote: borderleaf2-DC2_Ethernet12,FAIL,Interface Down - N/A
320,DCI,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf1-DC1_Ethernet12,PASS,
321,DCI,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf2-DC1_Ethernet12,PASS,
322,DCI,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: borderleaf1-DC2_Ethernet12,PASS,
323,leaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2-DC1_Ethernet1,PASS,
324,leaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf2-DC1_Ethernet2,PASS,
325,leaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet2,PASS,
326,leaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet2,PASS,
327,leaf1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet2,PASS,
328,leaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2-DC2_Ethernet1,PASS,
329,leaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf2-DC2_Ethernet2,PASS,
330,leaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet2,PASS,
331,leaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet2,PASS,
332,leaf1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet2,PASS,
333,leaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1-DC1_Ethernet1,PASS,
334,leaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC1_Ethernet2,PASS,
335,leaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet3,PASS,
336,leaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet3,PASS,
337,leaf2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet3,PASS,
338,leaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1-DC2_Ethernet1,PASS,
339,leaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC2_Ethernet2,PASS,
340,leaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet3,PASS,
341,leaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet3,PASS,
342,leaf2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet3,PASS,
343,leaf3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4-DC1_Ethernet1,PASS,
344,leaf3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf4-DC1_Ethernet2,PASS,
345,leaf3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet4,PASS,
346,leaf3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet4,PASS,
347,leaf3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet4,PASS,
348,leaf3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4-DC2_Ethernet1,PASS,
349,leaf3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf4-DC2_Ethernet2,PASS,
350,leaf3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet4,PASS,
351,leaf3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet4,PASS,
352,leaf3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet4,PASS,
353,leaf4-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3-DC1_Ethernet1,PASS,
354,leaf4-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf3-DC1_Ethernet2,PASS,
355,leaf4-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC1_Ethernet5,PASS,
356,leaf4-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC1_Ethernet5,PASS,
357,leaf4-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC1_Ethernet5,PASS,
358,leaf4-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3-DC2_Ethernet1,PASS,
359,leaf4-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf3-DC2_Ethernet2,PASS,
360,leaf4-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1-DC2_Ethernet5,PASS,
361,leaf4-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2-DC2_Ethernet5,PASS,
362,leaf4-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3-DC2_Ethernet5,PASS,
363,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC1_Ethernet3,PASS,
364,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC1_Ethernet3,PASS,
365,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC1_Ethernet3,PASS,
366,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC1_Ethernet3,PASS,
367,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC1_Ethernet3,PASS,
368,spine1-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC1_Ethernet3,PASS,
369,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC2_Ethernet3,PASS,
370,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC2_Ethernet3,PASS,
371,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC2_Ethernet3,PASS,
372,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC2_Ethernet3,PASS,
373,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC2_Ethernet3,PASS,
374,spine1-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC2_Ethernet3,PASS,
375,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC1_Ethernet4,PASS,
376,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC1_Ethernet4,PASS,
377,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC1_Ethernet4,PASS,
378,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC1_Ethernet4,PASS,
379,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC1_Ethernet4,PASS,
380,spine2-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC1_Ethernet4,PASS,
381,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC2_Ethernet4,PASS,
382,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC2_Ethernet4,PASS,
383,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC2_Ethernet4,PASS,
384,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC2_Ethernet4,PASS,
385,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC2_Ethernet4,PASS,
386,spine2-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC2_Ethernet4,PASS,
387,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC1_Ethernet5,PASS,
388,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC1_Ethernet5,PASS,
389,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC1_Ethernet5,PASS,
390,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC1_Ethernet5,PASS,
391,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC1_Ethernet5,PASS,
392,spine3-DC1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC1_Ethernet5,PASS,
393,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1-DC2_Ethernet5,PASS,
394,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2-DC2_Ethernet5,PASS,
395,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3-DC2_Ethernet5,PASS,
396,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4-DC2_Ethernet5,PASS,
397,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1-DC2_Ethernet5,PASS,
398,spine3-DC2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2-DC2_Ethernet5,PASS,
399,borderleaf1-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
400,borderleaf1-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
401,borderleaf2-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
402,borderleaf2-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
403,leaf1-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
404,leaf1-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
405,leaf2-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
406,leaf2-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
407,leaf3-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
408,leaf3-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
409,leaf4-DC1,MLAG,MLAG State active & Status connected,MLAG,PASS,
410,leaf4-DC2,MLAG,MLAG State active & Status connected,MLAG,PASS,
411,borderleaf1-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC1_Ethernet3 - Destination: spine1-DC1_Ethernet6,FAIL,100% packet loss
412,borderleaf1-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC1_Ethernet4 - Destination: spine2-DC1_Ethernet6,FAIL,100% packet loss
413,borderleaf1-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC1_Ethernet5 - Destination: spine3-DC1_Ethernet6,FAIL,100% packet loss
414,borderleaf1-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC1_Ethernet12 - Destination: DCI_Ethernet1,FAIL,100% packet loss
415,borderleaf1-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC2_Ethernet3 - Destination: spine1-DC2_Ethernet6,FAIL,100% packet loss
416,borderleaf1-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC2_Ethernet4 - Destination: spine2-DC2_Ethernet6,FAIL,100% packet loss
417,borderleaf1-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC2_Ethernet5 - Destination: spine3-DC2_Ethernet6,FAIL,100% packet loss
418,borderleaf1-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf1-DC2_Ethernet12 - Destination: DCI_Ethernet3,FAIL,100% packet loss
419,borderleaf2-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC1_Ethernet3 - Destination: spine1-DC1_Ethernet7,FAIL,100% packet loss
420,borderleaf2-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC1_Ethernet4 - Destination: spine2-DC1_Ethernet7,FAIL,100% packet loss
421,borderleaf2-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC1_Ethernet5 - Destination: spine3-DC1_Ethernet7,FAIL,100% packet loss
422,borderleaf2-DC1,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC1_Ethernet12 - Destination: DCI_Ethernet2,FAIL,100% packet loss
423,borderleaf2-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC2_Ethernet3 - Destination: spine1-DC2_Ethernet7,FAIL,100% packet loss
424,borderleaf2-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC2_Ethernet4 - Destination: spine2-DC2_Ethernet7,FAIL,100% packet loss
425,borderleaf2-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC2_Ethernet5 - Destination: spine3-DC2_Ethernet7,FAIL,100% packet loss
426,borderleaf2-DC2,IP Reachability,ip reachability test p2p links,Source: borderleaf2-DC2_Ethernet12 - Destination: DCI_Etherne4,FAIL,100% packet loss
427,DCI,IP Reachability,ip reachability test p2p links,Source: DCI_Etherne4 - Destination: borderleaf2-DC2_Ethernet12,FAIL,100% packet loss
